Tipologia,Marca,Dettaglio,Formato,Heksher,S,Note
Liquori,Luxardo,Sambuca & Cranberry,,KLBD,P,Heksher sulla confezione
Liquori,Luxardo,Sambuca & Passione Nera,,KLBD,P,Heksher sulla confezione
Liquori,Luxardo,Sambuca & Lampone,,KLBD,P,Heksher sulla confezione
Liquori,Luxardo,Sambuca & Mela speziata,,KLBD,P,Heksher sulla confezione
Liquori,Luxardo,Sambuca dei cesari,,KLBD,P,Heksher sulla confezione
Liquori,Luxardo,Sambuca con cola,,KLBD,P,Heksher sulla confezione
Liquori,Luxardo,Sambuca con pera,,KLBD,P,Heksher sulla confezione
Liquori,Luxardo,Sambuca con melograno,,KLBD,P,Heksher sulla confezione
Liquori,Luxardo,Sour Apple,,KLBD,P,Heksher sulla confezione
Liquori,Luxardo,Sour Cherry,,KLBD,P,Heksher sulla confezione
Liquori,Luxardo,Gin,27%,KLBD,P,Heksher sulla confezione
Liquori,Luxardo,Triple Sec,39%,KLBD,P,Heksher sulla confezione
Liquori,Luxardo,Triple Orange,60%,KLBD,P,Heksher sulla confezione
Liquori,Luxardo,Vaniglia,70%,KLBD,P,Heksher sulla confezione
Liquori,Luxardo,Limoncello,80%,KLBD,P,Heksher sulla confezione
Liquori,Luxardo,Slivovitz,27%,KLBD,P,Heksher sulla confezione
Liquori,Pallini,Limoncello,70%,Star K,P,Heksher sulla confezione
Liquori,Jelinek,Slivovitz,,Star K,P,Heksher sulla confezione
Liquori,Ramazzotti,Amaro,,Euro Kosher,P,Approvato da KLBD
Liquori,Ramazzotti,Aperitivo rosato,,Euro Kosher,P,Approvato da KLBD
Liquori,Ramazzotti,Black,,Euro Kosher,P,Lista liquori Star K; Approvato da KLBD
Liquori,Ramazzotti,Menta,,Euro Kosher,P,Lista liquori Star K; Approvato da KLBD
Liquori,Ramazzotti,Sambuca,,Euro Kosher,P,Lista liquori Star K; Approvato da KLBD
Rum,Angostura,N°1,,,P,Lista liquori CRC; Lista liquori Star K
Rum,Angostura,Premium Reserva,,,P,Lista liquori CRC; Lista liquori Star K
Rum,Bacardi,Carta Blanca,,OU,P,Lista liquori Star K; Approvato da KLBD
Rum,Bacardi,Superior,,OU,P,Lista liquori Star K; Approvato da KLBD
Rum,Bacardi,Black,,OU,P,Lista liquori Star K; Approvato da KLBD
Rum,Bacardi,Gold,,OU,P,Lista liquori Star K; Approvato da KLBD
Rum,Captain Morgan,Original Spice Gold,,,P,Approvato da KLBD
Rum,Captain Morgan,White Rum,,,P,Lista liquori CRC; Approvato da KLBD
Rum,Cruzan,Light,,,P,Lista liquori Star K
Rum,Cruzan,Dark,,,P,Lista liquori Star K
Rum,Pampero,Blanco,,,P,Approvato da KLBD
Rum,Pampero,Especial,,,P,Approvato da KLBD
Rum,Ron Abuelo,12,,,P,Lista liquori CRC; Lista liquori Star K
Rum,Ron Abuelo,7,,,P,Lista liquori CRC; Lista liquori Star K
Rum,Ron Abuelo,Anejo,,,P,Lista liquori CRC; Lista liquori Star K
Rum,Ron Abuelo,Centuria,,,P,Lista liquori CRC; Lista liquori Star K
Tequila - (Anejo; Reposado; Gold),1800,,,,P,Lista liquori Star K
Tequila - (Anejo; Reposado; Gold),Jose Cuervo,,,,P,Lista liquori CRC; Lista liquori Star K
Tequila - (Anejo; Reposado; Gold),Patron,,,,P,Lista liquori CRC
Tequila - (Anejo; Reposado; Gold),Roca Patron,,,,P,Lista liquori Star K; Approvato da KLBD
Tequila - (Anejo; Reposado; Gold),Sauza,,,,P,Lista liquori CRC; Lista liquori Star K
"Tequila - (Blanco, Silver, White)",Jose Cuervo,Silver,,,P,Lista liquori Star K
"Tequila - (Blanco, Silver, White)",Patron,100,,,P,Lista liquori CRC; Lista liquori Star K
"Tequila - (Blanco, Silver, White)",Sauza,,,,P,Lista liquori CRC; Lista liquori Star K; Approvato da KLBD
Vodka,Absolut,Apple,,,P,Lista liquori CRC; Lista liquori Star K; Approvato da KLBD
Vodka,Absolut,Berri Acai,,,P,Lista liquori CRC; Lista liquori Star K; Approvato da KLBD
Vodka,Absolut,Brooklyn Absolut Apeach,,,P,Lista liquori CRC; Lista liquori Star K; Approvato da KLBD
Vodka,Absolut,Cherrys,,,P,Lista liquori CRC; Lista liquori Star K; Approvato da KLBD
Vodka,Absolut,Citron,,,P,Lista liquori CRC; Lista liquori Star K; Approvato da KLBD
Vodka,Absolut,Elyx,,,P,Lista liquori CRC; Lista liquori Star K; Approvato da KLBD
Vodka,Absolut,Kurant,,,P,Lista liquori CRC; Lista liquori Star K; Approvato da KLBD
Vodka,Absolut,Los angeles,,,P,Lista liquori CRC; Lista liquori Star K; Approvato da KLBD
Vodka,Absolut,Mandarin,,,P,Lista liquori CRC; Lista liquori Star K; Approvato da KLBD
Vodka,Absolut,Mango,,,P,Lista liquori CRC; Lista liquori Star K; Approvato da KLBD
Vodka,Absolut,Oak,,,P,Lista liquori CRC; Lista liquori Star K; Approvato da KLBD
Vodka,Absolut,Original,,,P,Lista liquori CRC; Lista liquori Star K; Approvato da KLBD
Vodka,Absolut,Pears,,,P,Lista liquori CRC; Lista liquori Star K; Approvato da KLBD
Vodka,Absolut,Grapefruit,,,P,Lista liquori CRC; Lista liquori Star K; Approvato da KLBD
Vodka,Absolut,Grape,,,P,Lista liquori CRC; Lista liquori Star K; Approvato da KLBD
Vodka,Absolut,Lime,,,P,Lista liquori CRC; Lista liquori Star K; Approvato da KLBD
Vodka,Absolut,Hibiskus,,,P,Lista liquori CRC; Lista liquori Star K; Approvato da KLBD
Vodka,Absolut,Vanilla,,,P,Lista liquori CRC; Lista liquori Star K; Approvato da KLBD
Vodka,Absolut,Tropics,,,P,Lista liquori CRC; Lista liquori Star K; Approvato da KLBD
Vodka,Absolut,Illusion,,,P,Lista liquori CRC; Lista liquori Star K; Approvato da KLBD
Vodka,Absolut,Level vodka,,,P,Lista liquori CRC; Lista liquori Star K; Approvato da KLBD
Vodka,Absolut,Watkin,,,P,Lista liquori CRC; Lista liquori Star K; Approvato da KLBD
Vodka,Absolut,Tropics Grain Spirits,,,P,Lista liquori CRC; Lista liquori Star K; Approvato da KLBD
Vodka,Absolut,Cilantro,,,P,Lista liquori CRC; Lista liquori Star K; Approvato da KLBD
Vodka,Absolut,Raspberri,,,P,Lista liquori CRC; Lista liquori Star K; Approvato da KLBD
Vodka,Absolut,Ruby red,,,P,Lista liquori CRC; Lista liquori Star K; Approvato da KLBD
Vodka,Smirnoff,Kurant,,,P,Lista liquori CRC; Approvato da KLBD
Vodka,Smirnoff,Raw,,,P,Approvato da KLBD
Vodka,Smirnoff,Rio Vodka,,,P,Approvato da KLBD
Vodka,Smirnoff,Black,,,P,Approvato da KLBD
Vodka,Smirnoff,Blue,,,P,Approvato da KLBD
Vodka,Smirnoff,Blueberry,,,P,Approvato da KLBD
Vodka,Smirnoff,Espresso,,,P,Approvato da KLBD
Vodka,Smirnoff,Gold,,,P,Approvato da KLBD
Vodka,Smirnoff,Cinnamon,,,P,Approvato da KLBD
Vodka,Smirnoff,Lime,,,P,Approvato da KLBD
Vodka,Smirnoff,Norsk,,,P,Approvato da KLBD
Vodka,Smirnoff,Penka,,,P,Approvato da KLBD
Vodka,Smirnoff,Red,,,P,Approvato da KLBD
Vodka,Smirnoff,Vanilla,,,P,Approvato da KLBD
Vodka,Smirnoff,Penka,,,P,Approvato da KLBD
Vodka,Stolichnaya,Stolichnaya,,OU,P,Lista liquori CRC; Approvato da KLBD
Vodka,Stolichnaya,Imported Russia,,OU,P,Lista liquori CRC; Approvato da KLBD
Vodka,Stolichnaya,Imported Premium Vodka,,,P,Lista liquori CRC; Approvato da KLBD
Vodka,Stolichnaya,Stolichnaya Gold Vodka,,,P,Lista liquori CRC; Approvato da KLBD
Farina 00,Molino Chiavazza,Farina di Grano Tenero 00,1 kg,1K,P,
Farina 00,Molino Grassi,Farina 00 - Pasta Fresca,1 kg,Star K,P,
Farina 00,Molino Grassi,Farina 00 - Pizza e Focaccia,1 kg,Star K,P,
Farina 00,Molino Grassi,Farina 00 - Torte e Biscotti,1 kg,Star K,P,
Farina 00,Molino Grassi,Farina 00 - Manitoba,1 kg,Star K,P,
Farina 00,Molino Pagani,Farina di Grano Tenero 00,Tutti i formati,1K,P,
Farina 00,Molino Spadoni,Farina 00,,BD'TZ Bet Yossef,P,Heksher sulla confezione
Farina grano duro / Semola,Agribosco,Farina di Grano Duro bio,0.5 kg,OU,P,Heksher sulla confezione
Farina grano duro / Semola,De Cecco,Semola Rimacinata di Grano Duro,1 kg,OU,P,
Farina grano duro / Semola,La Molisana,Semola Integrale Rimacinata,1 kg,OU,P,
Farina grano duro / Semola,Molino Grassi,Semola per Pasta,1 kg,Star K,P,
Farina grano duro / Semola,Molino Grassi,Semola Rimacinata per Pane,1 kg,Star K,P,
Farina grano duro / Semola,Molino Rachello,Senatore Cappelli Bio - Farina di Grano Duro,0.5 kg,Star K,P,
Farina di frumento speciale,Molino Grassi,Farina di Frumento Tenero - Manitoba,1 kg,Star K,P,
Farina di frumento speciale,Molino Grassi,Farina Khorasan - Kamut,1 kg,Star K,P,
Farina di frumento speciale,Molino Grassi,Preparato per focaccia ligure,,Star K,P,Heksher sulla confezione
Farina di frumento speciale,Molino Grassi,qb - kamut,,Star K,P,Heksher sulla confezione
Farina di frumento speciale,Molino Grassi,qb - miracolo - farina integrale,,Star K,P,Heksher sulla confezione
Farina di frumento speciale,Molino Grassi,qb - miracolo - farina tipo 1,,Star K,P,Heksher sulla confezione
Farina di frumento speciale,Molino Grassi,qb - multicereali,0.5 kg,Star K,P,Heksher sulla confezione
Farina di frumento speciale,Molino Rachello,Farina Kamut,,Star K,P,
Farina di frumento speciale,Molino Spadoni,Farina Tipo 1,,BD'TZ Bet Yossef,P,Heksher sulla confezione
Farina di frumento speciale,Molino Spadoni,Farina Tipo 2,,BD'TZ Bet Yossef,P,Heksher sulla confezione
Farina di cereali e legumi,Agribosco,Farina di Farro,0.5 kg,OU,P,
Farina di cereali e legumi,Agribosco,Farina Integrale di Avena,0.5 kg,OU,P,
Farina di cereali e legumi,Agribosco,Farina Integrale di Ceci bio,0.5 kg,OU,P,
